tau,precision,recall,f1,tpr,fpr,youden_j
0.69891036,0.7207303974221267,0.8212974296205631,0.7677345537757437,0.8212974296204625,0.3182374541003282,0.5030599755201343
0.70868886,0.7242128121606949,0.8164014687882497,0.7675489067894131,0.8164014687881497,0.3108935128518591,0.5055079559362905
0.71846724,0.7244785949506037,0.8078335373317014,0.7638888888888888,0.8078335373316025,0.30722154222762454,0.5006119951039779
0.7282456,0.7249443207126949,0.7968176254589964,0.7591836734693878,0.7968176254588988,0.3023255813953118,0.494492044063587
0.738024,0.7271702367531003,0.7894736842105263,0.7570422535211268,0.7894736842104296,0.29620563035492087,0.49326805385550876
0.7478024,0.7305045871559633,0.7796817625458996,0.7542924807578448,0.7796817625458041,0.2876376988983736,0.49204406364743053
0.7575809,0.7321637426900585,0.7662178702570379,0.7488038277511961,0.7662178702569441,0.2802937576499045,0.4859241126070396
0.76735926,0.7330960854092526,0.7564259485924113,0.744578313253012,0.7564259485923186,0.27539779681759174,0.48102815177472685
0.77713764,0.7363966142684402,0.7454100367197063,0.7408759124087592,0.7454100367196149,0.2668298653610444,0.4785801713585705
0.786916,0.7411477411477412,0.7429620563035496,0.7420537897310513,0.7429620563034586,0.2594859241125753,0.48347613219088326
0.7966945,0.7453416149068323,0.7343941248470012,0.7398273736128237,0.7343941248469112,0.25091799265602804,0.4834761321908832
0.8064729,0.7452471482889734,0.7197062423500612,0.7322540473225405,0.719706242349973,0.2460220318237153,0.47368421052625775
0.8162513,0.7490247074122237,0.7050183598531212,0.7263556116015133,0.7050183598530348,0.2362301101590898,0.46878824969394506
0.82602966,0.7536423841059603,0.6964504283965728,0.7239185750636132,0.6964504283964875,0.2276621787025425,0.46878824969394506
0.83580804,0.7544097693351425,0.6805385556915544,0.7155727155727156,0.6805385556914711,0.22154222766215156,0.45899632802931956
0.84558654,0.7597765363128491,0.6658506731946144,0.7097195042400521,0.665850673194533,0.21052631578944792,0.45532435740508503
0.8553649,0.7621776504297995,0.6511627906976745,0.7023102310231023,0.6511627906975946,0.2031823745409788,0.4479804161566159
0.8651433,0.7666174298375185,0.6352509179926561,0.6947791164658634,0.6352509179925783,0.1933904528763533,0.44186046511622495
0.8749217,0.7806748466257669,0.6230110159118727,0.6929884275017019,0.6230110159117964,0.17503059975518054,0.4479804161566159
0.8847002,0.786053882725832,0.6070991432068543,0.6850828729281768,0.60709914320678,0.16523867809055504,0.441860465116225
0.89447856,0.7933884297520661,0.587515299877601,0.6751054852320675,0.587515299877529,0.15299877600977319,0.43451652386775586
0.90425694,0.7926829268292683,0.5569155446756426,0.6542056074766355,0.5569155446755744,0.1456548347613041,0.4112607099142703
0.9140353,0.8010849909584087,0.5422276621787026,0.6467153284671533,0.5422276621786362,0.1346389228886004,0.40758873929003575
0.9238137,0.8034026465028355,0.5201958384332925,0.6315007429420505,0.5201958384332288,0.12729498164013128,0.3929008567930975
0.9335922,0.8151093439363817,0.5018359853121175,0.6212121212121212,0.5018359853120561,0.11383108935127124,0.38800489596078486
0.9433706,0.8232848232848233,0.4847001223990208,0.6101694915254238,0.48470012239896143,0.10403916768664577,0.38066095471231565
0.95314896,0.8264642082429501,0.4663402692778458,0.596244131455399,0.46634026927778865,0.09791921664625484,0.3684210526315338
0.96292734,0.84,0.4369645042839657,0.5748792270531401,0.4369645042839122,0.08323133414931662,0.3537331701345956
0.97270584,0.8422391857506362,0.40514075887392903,0.547107438016529,0.4051407588738794,0.0758873929008475,0.3292533659730319
0.9824842,0.8409703504043127,0.3818849449204406,0.5252525252525253,0.3818849449203939,0.07221542227661294,0.30966952264378095
0.9922626,0.8455056179775281,0.3684210526315789,0.5132139812446718,0.36842105263153385,0.0673194614443002,0.3011015911872337
1.002041,0.8508771929824561,0.3561811505507956,0.5021570319240725,0.356181150550752,0.06242350061198746,0.2937576499387645
1.0118194,0.8628048780487805,0.3463892288861689,0.4943231441048035,0.3463892288861265,0.05507955936351835,0.2913096695226082
1.0215979,0.8662420382165605,0.3329253365973072,0.48099027409372236,0.3329253365972665,0.05140758873928379,0.28151774785798267
1.0313762,0.8817567567567568,0.31946144430844553,0.46900269541778977,0.3194614443084064,0.04283965728273649,0.2766217870256699
1.0411546,0.8804347826086957,0.2974296205630355,0.444647758462946,0.2974296205629991,0.04039167686658012,0.25703794369641897
1.050933,0.8843283582089553,0.29008567931456547,0.4368663594470046,0.29008567931452994,0.03794369645042375,0.25214198286410616
1.0607115,0.8875968992248062,0.2802937576499388,0.42604651162790697,0.2802937576499045,0.03549571603426738,0.24479804161563712
1.0704899,0.8870292887029289,0.2594859241126071,0.4015151515151515,0.2594859241125753,0.03304773561811101,0.22643818849446432
1.0802683,0.8969957081545065,0.2558139534883721,0.3980952380952381,0.2558139534883408,0.029375764993876452,0.22643818849446434
1.0900466,0.8977777777777778,0.24724602203182375,0.3877159309021113,0.24724602203179347,0.028151774785798268,0.2190942472459952
1.099825,0.9009009009009009,0.24479804161566707,0.3849855630413859,0.2447980416156371,0.02692778457772008,0.21787025703791701
1.1096035,0.9142857142857143,0.2350061199510404,0.373904576436222,0.23500611995101162,0.02203182374540734,0.21297429620560426
1.1193819,0.9086294416243654,0.21909424724602203,0.3530571992110454,0.21909424724599522,0.02203182374540734,0.1970624235005879
1.1291603,0.9032258064516129,0.20563035495716034,0.3349950149551346,0.20563035495713516,0.02203182374540734,0.1835985312117278
1.1389387,0.9028571428571428,0.193390452876377,0.3185483870967742,0.1933904528763533,0.020807833537329155,0.17258261933902416
1.148717,0.9011627906976745,0.189718482252142,0.3134479271991911,0.18971848225211876,0.020807833537329155,0.1689106487147896
1.1584955,0.896969696969697,0.18115055079559364,0.3014256619144603,0.18115055079557146,0.020807833537329155,0.1603427172582423
1.1682739,0.9,0.1762545899632803,0.2947799385875128,0.1762545899632587,0.019583843329250967,0.15667074663400773
1.1780523,0.8974358974358975,0.17135862913096694,0.28776978417266186,0.17135862913094596,0.019583843329250967,0.15177478580169498
1.1878307,0.9054054054054054,0.16401468788249693,0.277720207253886,0.16401468788247686,0.017135862913094598,0.14687882496938226
1.1976092,0.9090909090909091,0.1591187270501836,0.2708333333333333,0.1591187270501641,0.01591187270501641,0.1432068543451477
1.2073876,0.9153846153846154,0.1456548347613219,0.25131995776135163,0.1456548347613041,0.01346389228886004,0.13219094247244403
1.217166,0.9173553719008265,0.13586291309669524,0.23667377398720682,0.13586291309667858,0.012239902080781856,0.12362301101589673
1.2269443,0.9380530973451328,0.12974296205630356,0.22795698924731184,0.12974296205628766,0.008567931456547299,0.12117503059974036
1.2367227,0.9333333333333333,0.11995104039167687,0.21258134490238612,0.11995104039166218,0.008567931456547299,0.11138310893511488
1.2465012,0.9381443298969072,0.11138310893512852,0.19912472647702406,0.11138310893511488,0.007343941248469113,0.10403916768664577
1.2562796,0.9354838709677419,0.10648714810281518,0.1912087912087912,0.10648714810280213,0.007343941248469113,0.09914320685433302
1.266058,0.9534883720930233,0.1003671970624235,0.18161683277962348,0.1003671970624112,0.004895960832312742,0.09547123623009847
1.2758363,0.948051948051948,0.08935128518971848,0.16331096196868009,0.08935128518970754,0.004895960832312742,0.0844553243573948
1.2856148,0.958904109589041,0.08567931456548347,0.15730337078651685,0.08567931456547298,0.0036719706242345565,0.08200734394123843
1.2953932,0.9705882352941176,0.08078335373317014,0.14915254237288136,0.08078335373316024,0.002447980416156371,0.07833537331700387
1.3051716,0.967741935483871,0.07343941248470012,0.13651877133105803,0.07343941248469113,0.002447980416156371,0.07099143206853475
1.31495,0.9642857142857143,0.06609547123623011,0.12371134020618557,0.06609547123622202,0.002447980416156371,0.06364749082006564
1.3247284,0.9591836734693877,0.05752753977968176,0.10854503464203233,0.057527539779674716,0.002447980416156371,0.05507955936351835
1.3345069,0.9761904761904762,0.05018359853121175,0.09545983701979045,0.0501835985312056,0.0012239902080781854,0.048959608323127415
1.3442852,0.975609756097561,0.04895960832313342,0.09324009324009325,0.04895960832312742,0.0012239902080781854,0.047735618115049235
1.3540636,0.9722222222222222,0.042839657282741736,0.08206330597889801,0.04283965728273649,0.0012239902080781854,0.0416156670746583
1.363842,0.96875,0.037943696450428395,0.07302709069493522,0.03794369645042375,0.0012239902080781854,0.036719706242345565
1.3736204,0.9655172413793104,0.03427172582619339,0.06619385342789598,0.034271725826189196,0.0012239902080781854,0.03304773561811101
1.3833989,0.9523809523809523,0.02447980416156671,0.0477326968973747,0.02447980416156371,0.0012239902080781854,0.023255813953485527
1.3931773,0.95,0.023255813953488372,0.04540023894862605,0.023255813953485523,0.0012239902080781854,0.02203182374540734
1.4029557,0.9444444444444444,0.0208078335373317,0.0407185628742515,0.020807833537329155,0.0012239902080781854,0.01958384332925097
1.412734,0.9411764705882353,0.019583843329253364,0.03836930455635491,0.019583843329250967,0.0012239902080781854,0.018359853121172783
1.4225125,1.0,0.01835985312117503,0.036057692307692304,0.018359853121172783,0.0,0.018359853121172783
1.4322909,1.0,0.01591187270501836,0.03132530120481928,0.01591187270501641,0.0,0.01591187270501641
1.4420693,1.0,0.012239902080783354,0.02418379685610641,0.012239902080781856,0.0,0.012239902080781856
1.4518477,1.0,0.0073439412484700125,0.014580801944106925,0.007343941248469113,0.0,0.007343941248469113
1.461626,1.0,0.006119951040391677,0.012165450121654502,0.006119951040390928,0.0,0.006119951040390928
1.4714046,1.0,0.006119951040391677,0.012165450121654502,0.006119951040390928,0.0,0.006119951040390928
1.4811829,1.0,0.004895960832313341,0.0097442143727162,0.004895960832312742,0.0,0.004895960832312742
1.4909613,1.0,0.004895960832313341,0.0097442143727162,0.004895960832312742,0.0,0.004895960832312742
1.5007397,1.0,0.0036719706242350062,0.007317073170731708,0.0036719706242345565,0.0,0.0036719706242345565
